iter	Accuracy	MultiClass
414	0.6697515424	0.8487569651
415	0.6695014174	0.8486878925
416	0.6700016675	0.8485343148
417	0.6696681674	0.8483317409
418	0.6700016675	0.8480458503
419	0.6700850425	0.8476271854
420	0.6698349175	0.8473047191
421	0.6696681674	0.8470893949
422	0.6699182925	0.8468093121
423	0.6697515424	0.8466073063
424	0.6698349175	0.8463884787
425	0.6701684175	0.8462161958
426	0.6701684175	0.8461165004
427	0.6704185426	0.8459553943
428	0.6706686677	0.8456392926
429	0.6704185426	0.8454446817
430	0.6704185426	0.8452533162
431	0.6709187927	0.8450562523
432	0.6707520427	0.8448863133
433	0.6709187927	0.8448023732
434	0.6708354177	0.8446932444
435	0.6709187927	0.8446680223
436	0.6712522928	0.8444384004
437	0.6713356678	0.8441791272
438	0.6716691679	0.8440600892
439	0.672086043	0.8437740187
440	0.6725029181	0.8434203082
441	0.6727530432	0.8433233737
442	0.6735867934	0.8429771009
443	0.6730865433	0.8425617926
444	0.6730031683	0.8422731977
445	0.6731699183	0.8421172039
446	0.6730865433	0.841863815
447	0.6733366683	0.8417461197
448	0.6730031683	0.8415236589
449	0.6732532933	0.8413750397
450	0.6735867934	0.8412401323
451	0.6736701684	0.8411911867
452	0.6741704185	0.8410314698
453	0.6739202935	0.8408633641
454	0.6738369185	0.84061336
455	0.6737535434	0.8404767354
456	0.6739202935	0.8403632209
457	0.6744205436	0.8401628026
458	0.6744205436	0.8398616391
459	0.6750041688	0.8394476415
460	0.675837919	0.8389329289
461	0.676088044	0.8386489534
462	0.6755877939	0.8384232343
463	0.675837919	0.8381337491
464	0.6768384192	0.8378117987
465	0.6767550442	0.8376819699
466	0.6765882941	0.8374099925
467	0.6776721694	0.8371177424
468	0.6775887944	0.8366698423
469	0.6780890445	0.8363225128
470	0.6779222945	0.8361227042
471	0.6775054194	0.835723579
472	0.6781724195	0.8355435725
473	0.6783391696	0.835210427
474	0.6789227947	0.8349361079
475	0.6790895448	0.834806479
476	0.6788394197	0.8347693115
477	0.6792562948	0.8344347989
478	0.6793396698	0.834249938
479	0.6794230449	0.834007961
480	0.6795064199	0.8336658988
481	0.6795897949	0.8334137371
482	0.6793396698	0.8332560406
483	0.6795064199	0.8330909342
484	0.6794230449	0.8329490324
485	0.6795064199	0.832814586
486	0.6794230449	0.8327434154
487	0.6788394197	0.8324559067
488	0.6802567951	0.8322378684
489	0.68017342	0.8321300711
490	0.68017342	0.8316172517
491	0.6802567951	0.8314973374
492	0.6805069201	0.8311671239
493	0.6804235451	0.8309243032
494	0.6806736702	0.8307988374
495	0.6811739203	0.8304506412
496	0.6811739203	0.8303253244
497	0.6810071703	0.8302418578
498	0.6823411706	0.8299418819
499	0.6824245456	0.8297687517
500	0.6821744205	0.8296664042
501	0.6821744205	0.8293129572
502	0.6820910455	0.8292597372
503	0.6824245456	0.8291537503
504	0.6823411706	0.8290430022
505	0.6825912956	0.8287427592
506	0.6825079206	0.8287152224
507	0.6823411706	0.8285846608
508	0.6822577956	0.8282601212
509	0.6826746707	0.828089449
510	0.6825079206	0.8279381126
